VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
2;2020-05-01 06:50:00;2020-05-01 07:08:00;;;222;37;;4.65;18.51;0.0;0.0;0.0;0.0;;0.3;18.81;;;
2;2020-05-01 06:50:46;2020-05-01 07:02:51;N;1.0;41;140;1.0;3.03;12.0;0.0;0.5;0.0;0.0;;0.3;15.55;2.0;1.0;2.75
2;2020-05-01 06:50:49;2020-05-01 07:14:11;N;1.0;159;197;1.0;13.41;37.5;0.0;0.5;2.75;6.12;;0.3;47.17;1.0;1.0;0.0
2;2020-05-01 06:56:00;2020-05-01 07:21:00;;;65;188;;4.4;14.63;0.0;0.0;0.0;0.0;;0.3;14.93;;;
2;2020-05-01 06:57:00;2020-05-01 07:18:00;;;139;194;;17.82;53.03;0.0;0.0;0.0;6.12;;0.3;59.45;;;
2;2020-05-01 06:58:00;2020-05-01 07:10:00;;;119;220;;4.29;15.99;0.0;0.0;2.75;0.0;;0.3;19.04;;;
1;2020-05-01 06:58:30;2020-05-01 07:04:11;N;1.0;74;42;1.0;0.9;6.0;0.0;0.5;1.35;0.0;;0.3;8.15;1.0;1.0;0.0
2;2020-05-01 06:59:00;2020-05-01 07:18:00;;;51;42;;10.28;30.3;0.0;0.0;0.0;12.24;;0.3;42.84;;;
2;2020-05-01 06:59:00;2020-05-01 07:20:00;;;81;243;;7.11;30.31;0.0;0.0;2.75;0.0;;0.3;33.36;;;
2;2020-05-01 06:59:00;2020-05-01 07:23:00;;;225;137;;6.79;20.86;0.0;0.0;0.0;0.0;;0.3;23.91;;;
2;2020-05-01 07:00:36;2020-05-01 07:05:21;N;1.0;75;74;1.0;0.83;5.5;0.0;0.5;0.0;0.0;;0.3;6.3;2.0;1.0;0.0
2;2020-05-01 07:01:00;2020-05-01 07:29:00;;;243;37;;14.54;40.94;0.0;0.0;0.0;6.12;;0.3;47.36;;;
